# HSK COORS  :  [0.0, 0.23401070363498697, 0.36911684621020824, 0.6393291316493259]
# HSK SYMBOL :  ['Γ', 'M', 'K', 'Γ']
# PROJ ATOMS :  [1]


# K-coors        Spin-up(eV)       dxy         dz2       Spin-up(eV)     dxy       dz2    
  0.38276394    -13.01329800    0.000000    0.000000    -13.01329800    0.000000    0.000000  
  0.38549336    -13.11520300    0.000000    0.000000    -13.11520300    0.000000    0.000000  
  0.38822277    -13.22043300    0.000000    0.000000    -13.22043300    0.000000    0.000000  
  0.39095219    -13.32835100    0.000000    0.000000    -13.32835100    0.000000    0.000000  
  0.39368160    -13.43837700    0.000000    0.000000    -13.43837700    0.000000    0.000000  
  0.39641102    -13.55003700    0.000000    0.000000    -13.55003700    0.000000    0.000000  
  0.39914043    -13.66292300    0.000000    0.000000    -13.66292300    0.000000    0.000000  
  0.40186984    -13.77669700    0.000000    0.000000    -13.77669700    0.000000    0.000000  
  0.40459926    -13.89106800    0.000000    0.000000    -13.89106800    0.000000    0.000000  
  0.40732867    -14.00575700    0.000000    0.000000    -14.00575700    0.000000    0.000000  
  0.41005809    -14.12063000    0.000000    0.000000    -14.12063000    0.000000    0.000000  
  0.41278750    -14.23545700    0.000000    0.000000    -14.23545700    0.000000    0.000000  
  0.41551692    -14.35009100    0.000000    0.000000    -14.35009100    0.000000    0.000000  
  0.41824633    -14.46438300    0.000000    0.000000    -14.46438300    0.000000    0.000000  
  0.42097574    -14.57823800    0.000000    0.000000    -14.57823800    0.000000    0.000000  
  0.42370516    -14.69155200    0.000000    0.000000    -14.69155200    0.000000    0.000000  
  0.42643457    -14.80422400    0.000000    0.000000    -14.80422400    0.000000    0.000000  
  0.42916399    -14.91618500    0.000000    0.000000    -14.91618500    0.000000    0.000000  
  0.43189340    -15.02736000    0.000000    0.000000    -15.02736000    0.000000    0.000000  
  0.43462282    -15.13769400    0.000000    0.000000    -15.13769400    0.000000    0.000000  
  0.43735231    -15.24710400    0.000000    0.000000    -15.24710400    0.000000    0.000000  
  0.44008173    -15.35556600    0.000000    0.000000    -15.35556600    0.000000    0.000000  
  0.44281114    -15.46302500    0.000000    0.000000    -15.46302500    0.000000    0.000000  
  0.44554055    -15.56943900    0.000000    0.000000    -15.56943900    0.000000    0.000000  
  0.44826997    -15.67477000    0.000000    0.000000    -15.67477000    0.000000    0.000000  
